start,end,duration,rain_sum,max_return_period,max_return_period_duration
2009-01-23 20:47:00,2009-01-23 23:33:00,0 days 02:46:00.000000000,3.4,0.1,60
2009-01-27 03:56:00,2009-01-28 06:58:00,1 days 03:02:00.000000000,26.0,0.1,60
2009-01-31 17:49:00,2009-01-31 20:15:00,0 days 02:26:00.000000000,0.2,0.1,60
2009-02-01 09:44:00,2009-02-01 09:44:00,0 days 00:00:00.000000000,0.0,0.1,60
2009-02-01 19:25:00,2009-02-02 03:18:00,0 days 07:53:00.000000000,1.3,0.1,60
2009-02-02 07:33:00,2009-02-03 10:41:00,1 days 03:08:00.000000000,11.5,0.1,60
2009-02-03 21:52:00,2009-02-04 04:03:00,0 days 06:11:00.000000000,2.7,0.1,60
2009-02-07 18:58:00,2009-02-08 11:28:00,0 days 16:30:00.000000000,11.2,0.1,60
2009-02-21 07:00:00,2009-02-22 06:59:00,0 days 23:59:00.000000000,1.4,0.1,60
2009-03-02 07:00:00,2009-03-03 06:59:00,0 days 23:59:00.000000000,1.4,0.1,60
2009-03-04 07:00:00,2009-03-05 20:43:00,1 days 13:43:00.000000000,16.1,0.1,60
2009-03-06 01:58:00,2009-03-06 02:15:00,0 days 00:17:00.000000000,0.3,0.1,60
2009-03-06 10:30:00,2009-03-06 13:29:00,0 days 02:59:00.000000000,10.3,0.1,60
2009-03-19 15:15:00,2009-03-19 17:14:00,0 days 01:59:00.000000000,3.3,0.1,60
2009-03-29 12:30:00,2009-03-30 02:59:00,0 days 14:29:00.000000000,30.8,0.3,720
2009-03-30 09:45:00,2009-03-30 09:59:00,0 days 00:14:00.000000000,0.2,0.1,60
2009-03-31 07:45:00,2009-03-31 07:59:00,0 days 00:14:00.000000000,0.2,0.1,60
2009-03-31 22:00:00,2009-03-31 22:14:00,0 days 00:14:00.000000000,0.4,0.1,60
2009-04-01 03:45:00,2009-04-01 03:59:00,0 days 00:14:00.000000000,0.2,0.2,8640
2009-04-17 10:45:00,2009-04-17 10:59:00,0 days 00:14:00.000000000,0.2,0.1,60
2009-04-17 15:45:00,2009-04-17 15:59:00,0 days 00:14:00.000000000,0.5,0.1,60
2009-04-19 20:45:00,2009-04-20 05:14:00,0 days 08:29:00.000000000,5.8,0.1,60
2009-04-20 19:15:00,2009-04-20 19:29:00,0 days 00:14:00.000000000,0.2,0.1,60
2009-04-23 03:00:00,2009-04-23 04:59:00,0 days 01:59:00.000000000,4.9,0.1,60
2009-04-23 17:30:00,2009-04-23 19:59:00,0 days 02:29:00.000000000,2.4,0.1,60
2009-04-28 07:00:00,2009-04-29 12:10:00,1 days 05:10:00.000000000,8.5,0.1,60
2009-04-29 19:30:00,2009-04-30 05:50:00,0 days 10:20:00.000000000,31.8,0.3,120
2009-05-03 07:00:00,2009-05-05 06:59:00,1 days 23:59:00.000000000,10.1,0.2,5760
2009-05-11 07:00:00,2009-05-12 06:59:00,0 days 23:59:00.000000000,4.3,0.1,60
2009-05-12 12:54:00,2009-05-12 18:30:00,0 days 05:36:00.000000000,23.2,0.8,10
2009-05-13 02:24:00,2009-05-14 08:23:00,1 days 05:59:00.000000000,10.1,0.2,720
2009-05-18 07:00:00,2009-05-20 06:59:00,1 days 23:59:00.000000000,44.6,0.3,4320
2009-05-22 07:00:00,2009-05-23 06:59:00,0 days 23:59:00.000000000,14.4,0.4,8640
2009-05-24 07:24:00,2009-05-24 07:40:00,0 days 00:16:00.000000000,0.4,0.4,8640
2009-05-24 15:34:00,2009-05-24 23:00:00,0 days 07:26:00.000000000,2.1,0.4,8640
2009-05-26 07:00:00,2009-05-27 11:03:00,1 days 04:03:00.000000000,17.9,0.2,8640
2009-05-29 07:00:00,2009-05-30 10:00:00,1 days 03:00:00.000000000,11.4,0.1,60
2009-06-05 07:00:00,2009-06-08 06:59:00,2 days 23:59:00.000000000,7.2,0.1,60
2009-06-11 07:00:00,2009-06-12 06:59:00,0 days 23:59:00.000000000,4.3,0.1,60
2009-06-16 07:00:00,2009-06-17 06:59:00,0 days 23:59:00.000000000,8.6,0.1,60
2009-06-19 07:00:00,2009-06-21 06:59:00,1 days 23:59:00.000000000,33.1,0.2,8640
2009-06-22 07:00:00,2009-06-23 09:26:00,1 days 02:26:00.000000000,3.1,0.2,8640
